   Teff,Logg,      G,      B,      V,      u,      g,      r,      i,      z,      J,      H,      K, W1_W10, W2_W10, W3_W10, W4_W10
2300,5.5,-32.128,-26.022,-27.622,-23.332,-26.689,-29.424,-31.999,-34.454,-36.822,-37.325,-37.552,-37.855,-37.861,-38.426,-38.43
2350,2.5,-31.777,-27.651,-27.82,-26.816,-27.828,-28.217,-32.013,-33.994,-36.687,-37.208,-37.642,-37.915,-38.273,-38.663,-38.839
2350,3,-32.027,-27.986,-28.372,-26.966,-28.289,-28.687,-32.326,-34.202,-36.758,-37.285,-37.704,-37.964,-38.3,-38.684,-38.835
2350,3.5,-32.046,-27.594,-28.426,-26.125,-28.093,-28.867,-32.354,-34.213,-36.74,-37.295,-37.713,-37.977,-38.287,-38.674,-38.803
2350,4,-32.075,-27.306,-28.462,-25.353,-27.948,-29.037,-32.364,-34.247,-36.752,-37.323,-37.72,-37.97,-38.233,-38.637,-38.744
2350,4.5,-32.056,-26.874,-28.379,-24.457,-27.613,-29.165,-32.304,-34.242,-36.735,-37.341,-37.717,-37.964,-38.181,-38.603,-38.701
2350,5,-32.091,-26.637,-28.331,-23.96,-27.409,-29.367,-32.233,-34.31,-36.785,-37.395,-37.697,-37.931,-38.077,-38.539,-38.614
2400,2.5,-32.108,-28.499,-28.467,-27.762,-28.609,-28.716,-32.413,-34.279,-36.85,-37.33,-37.727,-37.974,-38.327,-38.698,-38.873
2400,3,-32.181,-28.288,-28.664,-27.275,-28.578,-28.952,-32.522,-34.328,-36.82,-37.333,-37.743,-38.002,-38.337,-38.706,-38.859
2400,3.5,-32.244,-28.066,-28.854,-26.673,-28.527,-29.236,-32.617,-34.369,-36.808,-37.347,-37.759,-38.031,-38.343,-38.712,-38.847
2400,4,-32.238,-27.704,-28.783,-25.809,-28.314,-29.269,-32.58,-34.379,-36.815,-37.375,-37.766,-38.016,-38.286,-38.671,-38.78
2400,4.5,-32.341,-27.064,-28.564,-24.906,-27.699,-29.473,-32.631,-34.516,-36.879,-37.408,-37.767,-38.005,-38.227,-38.631,-38.728
2400,5,-32.244,-26.685,-28.46,-24.319,-27.376,-29.558,-32.468,-34.43,-36.831,-37.439,-37.755,-37.993,-38.152,-38.585,-38.657
2400,5.5,-32.302,-26.622,-28.283,-23.973,-27.307,-29.72,-32.43,-34.517,-36.862,-37.484,-37.73,-37.977,-38.014,-38.507,-38.513
2500,2.5,-32.473,-29.158,-29.063,-28.353,-29.249,-29.202,-32.855,-34.591,-37.037,-37.517,-37.865,-38.075,-38.42,-38.749,-38.922
2500,3,-32.592,-29.063,-29.391,-28.015,-29.313,-29.611,-33.035,-34.665,-36.996,-37.497,-37.88,-38.129,-38.458,-38.781,-38.936
