!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
!  WISE filter system
!
!        Teff    Logg   [M/H]   [a/H]        W1_W10      W2_W10      W3_W10      W4_W10
      2600.00    4.00    0.00    0.00       -38.258     -38.535     -38.828     -38.945
      2600.00    4.50    0.00    0.00       -38.250     -38.489     -38.794     -38.896
      2600.00    5.00    0.00    0.00       -38.238     -38.431     -38.755     -38.839
      2600.00    5.50    0.00    0.00       -38.231     -38.369     -38.715     -38.782
      2700.00    2.50    0.00    0.00       -38.259     -38.587     -38.843     -39.013
      2700.00    3.00    0.00    0.00       -38.327     -38.638     -38.886     -39.039
      2700.00    3.50    0.00    0.00       -38.359     -38.652     -38.906     -39.043
      2700.00    4.00    0.00    0.00       -38.365     -38.637     -32.969     -35.769
      2700.00    4.50    0.00    0.00       -38.402     -38.645     -38.899     -39.005
      2700.00    5.00    0.00    0.00       -38.355     -38.559     -38.842     -38.934
      2700.00    5.50    0.00    0.00       -38.353     -38.511     -38.811     -38.888
      2800.00    2.50    0.00    0.00       -38.358     -38.668     -38.894     -39.057
      2800.00    3.00    0.00    0.00       -38.409     -38.709     -38.930     -39.081
      2800.00    3.50    0.00    0.00       -38.453     -38.737     -38.960     -39.097
      2800.00    4.00    0.00    0.00       -38.467     -38.732     -38.961     -39.082
      2800.00    4.50    0.00    0.00       -38.474     -38.715     -38.952     -39.061
      2800.00    5.00    0.00    0.00       -38.484     -38.692     -38.935     -39.031
      2800.00    5.50    0.00    0.00       -38.464     -38.630     -38.893     -38.978
      2900.00    2.50    0.00    0.00       -38.455     -38.743     -32.969     -35.769
      2900.00    3.00    0.00    0.00       -38.474     -38.762     -38.958     -39.106
      2900.00    3.50    0.00    0.00       -38.515     -38.791     -38.991     -39.126
      2900.00    4.00    0.00    0.00       -38.547     -38.805     -39.009     -39.131
      2900.00    4.50    0.00    0.00       -38.561     -38.797     -39.007     -39.117
      2900.00    5.00    0.00    0.00       -38.563     -38.769     -38.988     -39.085
      2900.00    5.50    0.00    0.00       -38.560     -38.728     -38.962     -39.048
      3000.00    2.50    0.00    0.00       -38.579     -38.835     -39.005     -39.152
      3000.00    3.00    0.00    0.00       -38.577     -38.842     -39.012     -39.154
      3000.00    3.50    0.00    0.00       -38.604     -38.864     -39.036     -39.167
      3000.00    4.00    0.00    0.00       -38.631     -38.878     -39.055     -39.174
      3000.00    4.50    0.00    0.00       -38.646     -38.874     -39.058     -39.165
      3000.00    5.00    0.00    0.00       -38.652     -38.853     -39.043     -39.139
      3000.00    5.50    0.00    0.00       -38.646     -38.810     -39.014     -39.100
      3100.00    2.50    0.00    0.00       -38.714     -38.928     -39.080     -39.213
      3100.00    3.00    0.00    0.00       -38.692     -38.926     -39.077     -39.209
      3100.00    3.50    0.00    0.00       -38.701     -38.939     -39.089     -39.215
      3100.00    4.00    0.00    0.00       -38.721     -38.953     -39.112     -39.228
      3100.00    4.50    0.00    0.00       -38.743     -38.960     -39.128     -39.234
      3100.00    5.00    0.00    0.00       -38.739     -38.937     -39.111     -39.207
      3100.00    5.50    0.00    0.00       -38.744     -38.915     -39.101     -39.188
      3200.00    2.50    0.00    0.00       -38.840     -39.007     -39.147     -39.266
      3200.00    3.00    0.00    0.00       -38.806     -39.002     -39.135     -39.258
      3200.00    3.50    0.00    0.00       -38.798     -39.009     -39.140     -39.259
      3200.00    4.00    0.00    0.00       -38.808     -39.019     -39.160     -39.272
      3200.00    4.50    0.00    0.00       -38.826     -39.028     -39.180     -39.283
      3200.00    5.00    0.00    0.00       -38.822     -39.011     -39.169     -39.264
      3200.00    5.50    0.00    0.00       -38.834     -39.000     -39.168     -39.255
      3300.00    2.50    0.00    0.00       -38.968     -39.082     -39.217     -39.319
      3300.00    3.00    0.00    0.00       -38.927     -39.078     -39.204     -39.314
      3300.00    3.50    0.00    0.00       -38.900     -39.077     -39.196     -39.306
      3300.00    4.00    0.00    0.00       -38.902     -39.088     -39.216     -39.321
      3300.00    4.50    0.00    0.00       -38.905     -39.091     -39.227     -39.326
      3300.00    5.00    0.00    0.00       -38.905     -39.081     -39.223     -39.315
      3300.00    5.50    0.00    0.00       -38.912     -39.070     -39.224     -39.309
      3400.00    2.50    0.00    0.00       -39.088     -39.148     -39.283     -39.367
      3400.00    3.00    0.00    0.00       -39.045     -39.146     -39.270     -39.365
      3400.00    3.50    0.00    0.00       -39.001     -39.140     -39.249     -39.349
      3400.00    4.00    0.00    0.00       -39.002     -39.154     -39.276     -39.372
      3400.00    4.50    0.00    0.00       -38.996     -39.156     -39.283     -39.376
      3400.00    5.00    0.00    0.00       -38.981     -39.143     -39.276     -39.364
      3400.00    5.50    0.00    0.00       -38.993     -39.140     -39.281     -39.363
      3500.00    2.50    0.00    0.00       -39.192     -39.206     -39.343     -39.409
      3500.00    3.00    0.00    0.00       -39.155     -39.207     -39.336     -39.414
      3500.00    3.50    0.00    0.00       -39.124     -39.211     -39.341     -39.424
      3500.00    4.00    0.00    0.00       -39.098     -39.213     -39.332     -39.417
      3500.00    4.50    0.00    0.00       -39.079     -39.212     -39.334     -39.419
      3500.00    5.00    0.00    0.00       -39.062     -39.203     -39.328     -39.411
      3500.00    5.50    0.00    0.00       -39.065     -39.198     -39.329     -39.408
      3600.00    2.50    0.00    0.00       -39.281     -39.256     -39.405     -39.454
      3600.00    3.00    0.00    0.00       -39.251     -39.259     -39.395     -39.457
      3600.00    3.50    0.00    0.00       -39.215     -39.261     -39.391     -39.461
      3600.00    4.00    0.00    0.00       -39.188     -39.265     -39.383     -39.455
