!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: AB
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
! Note that absolute magnitudes are calculated from the model atmosphere fluxes as Pogson magnitudes, while observed SDSS photometry is provided as Asinh magnitudes.
! To obtain apparent magnitudes at a distance from the isochrones, the absolute magnitudes have to be converted to flux ratios,
! scaled to the distance and converted back as Asinh magnitudes, e.g. for a distance modulus D= 0.2 log10(d/10 pc) compute f/f0= 10**(-0.4*(M+D))
! m= -2.5/ln(10) * [asinh([f/f0]/[2b]) + ln(b)] where b is the appropriate asinh softening parameter (cf. table at
! http://www.sdss.org/dr12/algorithms/magnitudes/#asinh), i.e.
! b(u)= 1.4e-10, b(g)= 0.9e-10, b(r)= 1.2e-10, b(i)= 1.8e-10, b(z)= 7.4e-10
!
!  SDSS with airmass=1.3 filter system (Doi et al. 2010) filter system
!
!        Teff    Logg   [M/H]   [a/H]             u           g           r           i           z          u1          u2          u3          u4          u5          u6          g1          g2          g3          g4          g5          g6          r1          r2          r3          r4          r5          r6          i1          i2          i3          i4          i5          i6          z1          z2          z3          z4          z5          z6
      1600.00    5.50    0.00    0.00       -20.810     -24.527     -27.269     -29.543     -31.652     -21.116     -20.164     -21.398     -21.419     -20.842     -20.757     -24.521     -24.510     -24.536     -24.533     -24.529     -24.531     -27.311     -27.276     -27.244     -27.267     -27.259     -27.266     -29.558     -29.560     -29.559     -29.555     -29.559     -29.553     -31.633     -31.696     -31.661     -31.668     -31.635     -31.623
      1650.00    5.00    0.00    0.00       -21.425     -24.511     -27.602     -29.747     -31.486     -21.545     -20.789     -21.809     -21.867     -21.378     -21.318     -24.512     -24.495     -24.514     -24.515     -24.516     -24.515     -27.632     -27.608     -27.578     -27.602     -27.595     -27.601     -29.757     -29.763     -29.763     -29.758     -29.760     -29.755     -31.468     -31.529     -31.495     -31.502     -31.469     -31.458
      1650.00    5.50    0.00    0.00       -20.792     -24.677     -27.321     -29.614     -31.842     -21.146     -20.127     -21.433     -21.451     -20.828     -20.731     -24.671     -24.660     -24.686     -24.683     -24.679     -24.681     -27.363     -27.328     -27.295     -27.319     -27.311     -27.318     -29.630     -29.632     -29.630     -29.627     -29.630     -29.624     -31.822     -31.889     -31.851     -31.859     -31.823     -31.811
      1700.00    2.50    0.00    0.00       -19.743     -20.485     -24.488     -27.147     -29.602     -19.262     -19.480     -19.429     -19.546     -19.924     -20.068     -20.489     -20.468     -20.482     -20.486     -20.492     -20.489     -24.509     -24.493     -24.466     -24.489     -24.484     -24.488     -27.142     -27.151     -27.151     -27.142     -27.147     -27.136     -29.573     -29.697     -29.623     -29.638     -29.565     -29.540
      1700.00    3.00    0.00    0.00       -20.361     -21.802     -25.386     -27.861     -30.125     -19.904     -20.155     -20.078     -20.179     -20.596     -20.738     -21.805     -21.785     -21.800     -21.804     -21.808     -21.806     -25.405     -25.391     -25.365     -25.387     -25.383     -25.387     -27.856     -27.866     -27.865     -27.857     -27.861     -27.851     -30.096     -30.215     -30.145     -30.159     -30.090     -30.065
      1700.00    3.50    0.00    0.00       -20.568     -21.672     -25.693     -28.099     -30.133     -20.089     -20.440     -20.265     -20.358     -20.885     -21.038     -21.677     -21.654     -21.668     -21.672     -21.679     -21.676     -25.712     -25.698     -25.672     -25.694     -25.690     -25.693     -28.091     -28.102     -28.103     -28.095     -28.097     -28.090     -30.105     -30.210     -30.150     -30.160     -30.101     -30.081
      1700.00    4.00    0.00    0.00       -21.662     -23.826     -27.250     -29.338     -31.103     -21.339     -21.345     -21.534     -21.614     -21.810     -21.890     -23.830     -23.809     -23.824     -23.827     -23.832     -23.830     -27.269     -27.255     -27.230     -27.252     -27.248     -27.251     -29.338     -29.347     -29.347     -29.340     -29.342     -29.335     -31.081     -31.164     -31.116     -31.126     -31.079     -31.063
      1700.00    4.50    0.00    0.00       -21.629     -24.436     -27.586     -29.710     -31.499     -21.599     -21.063     -21.842     -21.913     -21.592     -21.563     -24.438     -24.419     -24.437     -24.439     -24.442     -24.440     -27.611     -27.592     -27.564     -27.587     -27.581     -27.586     -29.718     -29.726     -29.725     -29.720     -29.721     -29.715     -31.478     -31.552     -31.510     -31.518     -31.478     -31.464
      1700.00    5.00    0.00    0.00       -21.611     -24.673     -27.744     -29.875     -31.651     -21.696     -20.994     -21.955     -22.016     -21.567     -21.515     -24.674     -24.656     -24.675     -24.676     -24.677     -24.676     -27.773     -27.750     -27.720     -27.744     -27.738     -27.743     -29.885     -29.891     -29.891     -29.886     -29.888     -29.882     -31.631     -31.696     -31.660     -31.667     -31.632     -31.620
      1700.00    5.50    0.00    0.00       -21.342     -25.318     -27.912     -30.103     -32.249     -21.662     -20.676     -21.953     -21.971     -21.377     -21.282     -25.313     -25.301     -25.327     -25.324     -25.320     -25.322     -27.952     -27.919     -27.887     -27.911     -27.903     -27.910     -30.119     -30.121     -30.119     -30.115     -30.119     -30.113     -32.231     -32.294     -32.257     -32.266     -32.231     -32.220
