Teff,Logg,G2018,G2018_BP,G2018_RP,J,H,K,W1_W10,W2_W10,W3_W10,W4_W10
2200.00,5.00,-31.418,-27.273,-32.857,-36.404,-37.129,-37.485,-37.810,-37.962,-38.487,-38.561
2200.00,5.50,-31.442,-27.369,-32.887,-36.252,-36.949,-37.240,-37.672,-37.695,-38.344,-38.352
2250.00,2.50,-31.564,-27.452,-32.984,-36.523,-37.062,-37.522,-37.817,-38.181,-38.617,-38.792
2250.00,3.00,-31.694,-27.582,-33.113,-36.545,-37.105,-37.559,-37.845,-38.185,-38.619,-38.768
2250.00,3.50,-31.725,-27.640,-33.143,-36.536,-37.121,-37.571,-37.862,-38.170,-38.609,-38.737
2250.00,4.00,-31.772,-27.724,-33.194,-36.563,-37.157,-37.573,-37.835,-38.081,-38.550,-38.653
2250.00,4.50,-31.747,-27.729,-33.173,-36.553,-37.176,-37.556,-37.832,-38.042,-38.527,-38.633
2250.00,5.00,-31.633,-27.569,-33.067,-36.503,-37.203,-37.555,-37.858,-38.012,-38.514,-38.586
2300.00,2.50,-31.851,-28.001,-33.262,-36.660,-37.155,-37.588,-37.874,-38.235,-38.650,-38.827
2300.00,3.00,-31.907,-27.992,-33.319,-36.645,-37.173,-37.608,-37.889,-38.229,-38.645,-38.798
2300.00,3.50,-31.895,-27.977,-33.306,-36.608,-37.171,-37.610,-37.901,-38.211,-38.635,-38.766
2300.00,4.00,-31.905,-27.922,-33.322,-36.621,-37.207,-37.622,-37.890,-38.147,-38.590,-38.696
2300.00,4.50,-32.162,-28.072,-33.582,-36.750,-37.285,-37.652,-37.898,-38.106,-38.557,-38.662
2300.00,5.00,-31.962,-28.005,-33.392,-36.659,-37.285,-37.611,-37.891,-38.043,-38.530,-38.597
2300.00,5.50,-32.253,-28.034,-33.693,-36.822,-37.325,-37.552,-37.855,-37.861,-38.426,-38.430
2350.00,2.50,-31.896,-27.862,-33.310,-36.687,-37.208,-37.642,-37.915,-38.273,-38.663,-38.839
2350.00,3.00,-32.136,-28.316,-33.542,-36.758,-37.285,-37.704,-37.964,-38.300,-38.684,-38.835
2350.00,3.50,-32.151,-28.270,-33.559,-36.740,-37.295,-37.713,-37.977,-38.287,-38.674,-38.803
2350.00,4.00,-32.179,-28.280,-33.589,-36.752,-37.323,-37.720,-37.970,-38.233,-38.637,-38.744
2350.00,4.50,-32.160,-28.222,-33.575,-36.735,-37.341,-37.717,-37.964,-38.181,-38.603,-38.701
2350.00,5.00,-32.195,-28.273,-33.621,-36.785,-37.395,-37.697,-37.931,-38.077,-38.539,-38.614
2400.00,2.50,-32.218,-28.560,-33.621,-36.850,-37.330,-37.727,-37.974,-38.327,-38.698,-38.873
2400.00,3.00,-32.284,-28.602,-33.684,-36.820,-37.333,-37.743,-38.002,-38.337,-38.706,-38.859
2400.00,3.50,-32.342,-28.687,-33.739,-36.808,-37.347,-37.759,-38.031,-38.343,-38.712,-38.847
2400.00,4.00,-32.337,-28.583,-33.739,-36.815,-37.375,-37.766,-38.016,-38.286,-38.671,-38.780
2400.00,4.50,-32.445,-28.474,-33.854,-36.879,-37.408,-37.767,-38.005,-38.227,-38.631,-38.728
2400.00,5.00,-32.343,-28.430,-33.762,-36.831,-37.439,-37.755,-37.993,-38.152,-38.585,-38.657
2400.00,5.50,-32.399,-28.465,-33.828,-36.862,-37.484,-37.730,-37.977,-38.014,-38.507,-38.513
2500.00,2.50,-32.573,-29.157,-33.963,-37.037,-37.517,-37.865,-38.075,-38.420,-38.749,-38.922
2500.00,3.00,-32.683,-29.320,-34.065,-36.996,-37.497,-37.880,-38.129,-38.458,-38.781,-38.936
2500.00,3.50,-32.731,-29.356,-34.111,-36.979,-37.507,-37.894,-38.147,-38.454,-38.780,-38.915
2500.00,4.00,-32.725,-29.236,-34.111,-36.977,-37.527,-37.900,-38.134,-38.407,-38.742,-38.851
2500.00,4.50,-32.722,-29.168,-34.113,-36.981,-37.550,-37.901,-38.129,-38.361,-38.713,-38.810
2500.00,5.00,-32.723,-28.970,-34.127,-36.997,-37.588,-37.900,-38.115,-38.292,-38.667,-38.746
2500.00,5.50,-32.735,-29.131,-34.142,-36.998,-37.619,-37.884,-38.107,-38.197,-38.610,-38.636
2600.00,2.50,-32.870,-29.654,-34.247,-37.196,-37.715,-38.006,-38.170,-38.507,-38.795,-38.968
2600.00,3.00,-33.020,-29.899,-34.385,-37.160,-37.661,-38.008,-38.225,-38.545,-38.831,-38.985
2600.00,3.50,-33.088,-30.004,-34.447,-37.132,-37.657,-38.020,-38.255,-38.556,-38.843,-38.980
2600.00,4.00,-33.096,-29.947,-34.458,-37.124,-37.669,-38.026,-38.258,-38.535,-38.828,-38.945
2600.00,4.50,-33.143,-29.680,-34.517,-37.159,-37.693,-38.031,-38.250,-38.489,-38.794,-38.896
2600.00,5.00,-33.070,-29.555,-34.454,-37.134,-37.721,-38.031,-38.238,-38.431,-38.755,-38.839
2600.00,5.50,-33.046,-29.461,-34.441,-37.139,-37.752,-38.023,-38.231,-38.369,-38.715,-38.782
2700.00,2.50,-33.130,-30.114,-34.492,-37.330,-37.913,-38.151,-38.259,-38.587,-38.843,-39.013
2700.00,3.00,-33.349,-30.476,-34.695,-37.318,-37.841,-38.148,-38.327,-38.638,-38.886,-39.039
2700.00,3.50,-33.420,-30.624,-34.756,-37.278,-37.803,-38.140,-38.359,-38.652,-38.906,-39.043
2700.00,4.00,-33.435,-30.596,-34.772,-37.264,-37.806,-38.144,-38.365,-38.637,-32.969,-35.769
2700.00,4.50,-33.553,-30.755,-34.885,-37.303,-37.867,-38.191,-38.402,-38.645,-38.899,-39.005
2700.00,5.00,-33.420,-30.390,-34.772,-37.262,-37.846,-38.151,-38.355,-38.559,-38.842,-38.934
2700.00,5.50,-33.503,-30.133,-34.873,-37.329,-37.883,-38.154,-38.353,-38.511,-38.811,-38.888
2800.00,2.50,-33.389,-30.574,-34.733,-37.446,-38.100,-38.303,-38.358,-38.668,-38.894,-39.057
