!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
!  GAIA filter system
!
!        Teff    Logg   [M/H]   [a/H]           F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
      1950.00    5.00    0.00    0.00       -20.810     -20.810     -22.584     -24.704     -24.824     -25.853     -29.362     -26.739     -28.816     -29.672     -30.626     -30.853     -31.983     -31.839     -33.033     -32.353     -30.325     -26.787     -31.938
      1950.00    5.50    0.00    0.00       -21.845     -21.845     -23.501     -25.614     -26.040     -26.347     -29.839     -26.311     -29.223     -30.130     -30.795     -30.965     -32.498     -32.344     -33.622     -33.001     -30.836     -26.944     -32.473
      2000.00    2.50    0.00    0.00       -24.512     -24.512     -24.704     -25.293     -25.156     -26.146     -28.630     -26.782     -28.226     -29.039     -30.680     -30.983     -32.248     -32.015     -33.344     -31.893     -30.463     -26.549     -32.123
      2000.00    3.00    0.00    0.00       -21.897     -21.897     -22.606     -24.292     -24.305     -25.437     -28.385     -26.416     -27.972     -28.801     -30.354     -30.710     -31.932     -31.721     -33.040     -31.750     -30.180     -26.139     -31.843
      2000.00    3.50    0.00    0.00       -20.361     -20.361     -21.297     -23.513     -23.530     -24.755     -28.164     -26.054     -27.758     -28.610     -30.145     -30.525     -31.787     -31.595     -32.945     -31.687     -30.072     -25.796     -31.748
      2000.00    4.00    0.00    0.00       -20.590     -20.590     -21.946     -24.078     -24.225     -25.228     -28.867     -26.773     -28.440     -29.270     -30.591     -30.903     -32.103     -31.951     -33.281     -32.173     -30.441     -26.500     -32.101
      2000.00    4.50    0.00    0.00       -20.554     -20.554     -22.238     -24.334     -24.478     -25.484     -29.162     -26.962     -28.701     -29.531     -30.691     -30.984     -32.182     -32.065     -33.408     -32.389     -30.577     -26.754     -32.236
      2000.00    5.00    0.00    0.00       -20.677     -20.677     -22.481     -24.469     -24.641     -25.558     -29.355     -26.719     -28.811     -29.667     -30.621     -30.854     -31.966     -31.821     -33.005     -32.341     -30.304     -26.755     -31.914
      2000.00    5.50    0.00    0.00       -21.601     -21.601     -23.302     -25.274     -25.678     -25.998     -29.943     -26.550     -29.321     -30.224     -31.004     -31.184     -32.691     -32.518     -33.782     -33.133     -30.996     -27.051     -32.634
      2050.00    2.50    0.00    0.00       -24.903     -24.903     -25.220     -25.549     -25.337     -26.253     -28.470     -26.576     -28.105     -28.950     -30.826     -31.045     -32.363     -32.127     -33.461     -31.995     -30.569     -26.450     -32.236
      2050.00    3.00    0.00    0.00       -24.072     -24.072     -24.261     -25.393     -25.409     -26.366     -28.748     -26.876     -28.356     -29.181     -30.902     -31.150     -32.428     -32.189     -33.488     -32.143     -30.628     -26.654     -32.285
      2050.00    3.50    0.00    0.00       -21.363     -21.363     -22.156     -24.235     -24.260     -25.439     -28.566     -26.515     -28.162     -29.011     -30.663     -30.954     -32.226     -32.010     -33.322     -32.073     -30.461     -26.242     -32.126
      2050.00    4.00    0.00    0.00       -21.390     -21.390     -22.497     -24.766     -24.863     -25.944     -29.052     -26.993     -28.607     -29.436     -30.878     -31.157     -32.422     -32.207     -33.483     -32.390     -30.660     -26.737     -32.309
      2050.00    4.50    0.00    0.00       -20.946     -20.946     -22.553     -24.818     -24.916     -26.009     -29.353     -27.164     -28.863     -29.692     -30.926     -31.209     -32.463     -32.270     -33.539     -32.573     -30.739     -26.962     -32.381
      2050.00    5.00    0.00    0.00       -21.209     -21.209     -22.910     -25.104     -25.229     -26.252     -29.660     -27.155     -29.120     -29.971     -31.061     -31.287     -32.556     -32.386     -33.640     -32.817     -30.867     -27.143     -32.502
      2100.00    2.50    0.00    0.00       -25.378     -25.378     -25.687     -25.929     -25.683     -26.575     -28.678     -26.809     -28.316     -29.157     -31.070     -31.243     -32.556     -32.312     -33.624     -32.169     -30.743     -26.708     -32.403
      2100.00    3.00    0.00    0.00       -23.931     -23.931     -24.217     -25.226     -25.207     -26.184     -28.633     -26.699     -28.262     -29.108     -30.941     -31.159     -32.438     -32.206     -33.504     -32.183     -30.639     -26.489     -32.300
      2100.00    3.50    0.00    0.00       -22.799     -22.799     -23.333     -25.208     -25.268     -26.340     -29.082     -27.142     -28.669     -29.498     -31.170     -31.397     -32.657     -32.418     -33.681     -32.456     -30.845     -26.861     -32.492
      2100.00    4.00    0.00    0.00       -22.252     -22.252     -23.190     -25.449     -25.570     -26.591     -29.439     -27.413     -28.979     -29.801     -31.285     -31.505     -32.799     -32.557     -33.804     -32.698     -30.991     -27.177     -32.630
      2100.00    4.50    0.00    0.00       -20.969     -20.969     -22.399     -24.546     -24.716     -25.667     -29.316     -27.153     -28.891     -29.734     -31.131     -31.356     -32.649     -32.493     -33.822     -32.771     -30.966     -26.913     -32.628
      2100.00    5.00    0.00    0.00       -21.256     -21.256     -22.937     -25.020     -25.238     -26.063     -29.781     -27.210     -29.226     -30.084     -31.201     -31.427     -32.755     -32.566     -33.824     -32.982     -31.036     -27.220     -32.675
      2100.00    5.50    0.00    0.00       -21.933     -21.933     -23.548     -25.772     -26.150     -26.580     -30.012     -26.592     -29.380     -30.288     -31.109     -31.303     -32.940     -32.780     -34.112     -33.369     -31.276     -27.181     -32.936
      2150.00    2.50    0.00    0.00       -25.694     -25.694     -26.171     -26.262     -25.951     -26.783     -28.617     -26.727     -28.303     -29.171     -31.287     -31.380     -32.701     -32.458     -33.749     -32.345     -30.876     -26.753     -32.536
      2150.00    3.00    0.00    0.00       -24.938     -24.938     -25.274     -25.963     -25.905     -26.784     -28.826     -26.931     -28.490     -29.347     -31.369     -31.485     -32.783     -32.539     -33.808     -32.496     -30.952     -26.812     -32.606
      2150.00    3.50    0.00    0.00       -24.030     -24.030     -24.344     -25.866     -25.942     -26.899     -29.263     -27.369     -28.884     -29.720     -31.574     -31.702     -32.975     -32.725     -33.958     -32.749     -31.131     -27.130     -32.773
      2150.00    4.00    0.00    0.00       -22.841     -22.841     -23.461     -25.614     -25.725     -26.740     -29.437     -27.457     -29.025     -29.862     -31.592     -31.725     -33.032     -32.784     -34.017     -32.892     -31.197     -27.198     -32.839
      2150.00    4.50    0.00    0.00       -21.703     -21.703     -22.944     -25.286     -25.398     -26.453     -29.530     -27.438     -29.075     -29.910     -31.430     -31.618     -32.934     -32.705     -33.946     -32.954     -31.137     -27.195     -32.779
      2150.00    5.00    0.00    0.00       -21.423     -21.423     -23.042     -25.326     -25.443     -26.490     -29.815     -27.486     -29.296     -30.138     -31.396     -31.603     -32.921     -32.717     -33.952     -33.110     -31.168     -27.367     -32.803
      2200.00    2.50    0.00    0.00       -26.230     -26.230     -26.711     -26.746     -26.404     -27.220     -28.971     -27.102     -28.660     -29.525     -31.678     -31.724     -33.029     -32.776     -34.034     -32.658     -31.176     -27.152     -32.826
      2200.00    3.00    0.00    0.00       -25.479     -25.479     -25.851     -26.432     -26.340     -27.214     -29.166     -27.300     -28.837     -29.692     -31.763     -31.822     -33.088     -32.838     -34.065     -32.802     -31.230     -27.188     -32.873
      2200.00    3.50    0.00    0.00       -24.378     -24.378     -24.844     -26.240     -26.297     -27.253     -29.462     -27.615     -29.093     -29.926     -31.854     -31.920     -33.171     -32.919     -34.120     -32.942     -31.311     -27.379     -32.943
      2200.00    4.00    0.00    0.00       -23.541     -23.541     -24.051     -26.079     -26.202     -27.171     -29.642     -27.735     -29.238     -30.066     -31.858     -31.940     -33.227     -32.974     -34.178     -33.076     -31.374     -27.474     -33.006
      2200.00    4.50    0.00    0.00       -21.254     -21.254     -22.517     -24.732     -24.898     -25.854     -29.500     -27.356     -29.113     -29.971     -31.607     -31.734     -33.052     -32.867     -34.157     -33.110     -31.302     -27.081     -32.958
      2200.00    5.00    0.00    0.00       -21.128     -21.128     -22.731     -24.910     -25.072     -26.041     -29.740     -27.519     -29.254     -30.098     -31.520     -31.743     -33.086     -32.865     -34.102     -33.227     -31.298     -27.294     -32.942
      2200.00    5.50    0.00    0.00       -21.816     -21.816     -23.456     -25.531     -25.901     -26.321     -30.166     -26.966     -29.529     -30.425     -31.378     -31.555     -33.080     -32.877     -34.126     -33.443     -31.331     -27.371     -32.970
      2250.00    2.50    0.00    0.00       -26.682     -26.682     -27.251     -27.215     -26.837     -27.613     -29.219     -27.379     -28.936     -29.806     -32.052     -32.040     -33.304     -33.054     -34.266     -32.985     -31.435     -27.487     -33.073
      2250.00    3.00    0.00    0.00       -26.269     -26.269     -26.739     -27.127     -26.989     -27.799     -29.455     -27.633     -29.164     -30.027     -32.236     -32.214     -33.459     -33.205     -34.383     -33.180     -31.573     -27.614     -33.203
