Name,WISE_ID,RA,DEC
AWI0004ngf,J040359.07+435919.4,60.99614644,43.98874553
AWI0005wa0,J040559.62+295638.1,61.49845024,29.94393807
AWI0005zgj,J040754.66+163149.9,61.97777055,16.5305576
AWI000631f,J040818.25+322736.0,62.0760692,32.460034
AWI0005zgl,J041241.76+140308.5,63.1740033,14.0523688
AWI0005ymi,J041249.03+193219.2,63.20429627,19.53867856
AWI0005zgm,J041418.73+115812.6,63.57807176,11.97018448
AWI00062ct,J041430.98-574445.2,63.62912016,-57.74590477
AWI0000lqa,J041430.98-574445.2,63.62912016,-57.74590477 
AWI0002ozm,J041517.47+505124.0,63.8228171,50.85668
AWI0002ozn,J041541.77+501830.4,63.9240736,50.3084697
AWI0005e4w,J041700.36+633721.9,64.25150998,63.62277452
AWI0005wam,J041810.78+251957.1,64.54496938,25.33250801
AWI0005wap,J041851.47+282026.2,64.714492,28.3406261
AWI0001qr1,J042003.89+543155.8,65.0162283,54.5321631
AWI0005zgp,J042115.63+100723.0,65.31513,10.12307
AWI00019xl,J042115.67+535041.3,65.315222,53.844719
AWI00062d2,J042138.03-543700.4,65.40848321,-54.61676568
AWI0005zgr,J042316.83+112240.3,65.82028588,11.37779
AWI0005mxd,J042625.87+351507.6,66.6078216,35.2521368
AWI0002d71,J042637.69+582408.1,66.65707403,58.4022612 
AWI0002d72,J042715.08+570205.6,66.8128397,57.0348986
AWI000630x,J042921.65+270125.6,67.3402472,27.0237767
AWI0005mxq,J042954.25+361156.7,67.4760584,36.1990895
AWI0005mxu,J043009.85+361334.9,67.5410726,67.5410726
AWI0001qrb,J043012.92+541357.9,67.5538647,54.232774
AWI00062df,J043026.69-431245.6,67.61121771,-43.21263991
AWI0005mxx,J043028.42+353241.9,67.6184528,35.5449594
AWI00062dh,J043029.53-432438.0,67.6230726,-43.41053077
AWI00019xu,J043051.36+515201.7,67.7140253,51.8671383
AWI0006006,J043217.75-133511.5,68.07399229,-13.58652227
AWI000427i,J043321.62+430154.3,68.340122,43.0317743
AWI0005ymx,J043428.53+122346.5,68.61888,12.39626
AWI0005myd,J043453.22+362329.1,68.7217737,36.3914218
AWI000600b,J043521.12-081730.0,68.83800565,-8.291692977
AWI0005myf,J043525.50+341901.4,68.8562787,34.3170625
AWI00023of,J043800.94+530957.7,69.5038942,53.1660247
AWI000630h,J043825.99+292314.5,69.608254,29.387349
AWI00034ud,J043834.28+460445.5,69.6428539,46.0793236
AWI000600n,J043852.53-081329.6,69.71893842,-8.2249199
AWI0000zrn,J044045.17+481333.4,70.18828098,48.22588814
AWI00055wg,J044126.88+622444.8,70.362024,62.412477
AWI000601n,J044609.49-113340.2,71.53956366,-11.56116792
